level,class_a,class_b,profile_a,profile_b,games,wins_a,draws,score_a_percent
5,Guerrier,Moine,offense,balanced,600,187,0,31.167
5,Guerrier,Moine,offense,resilient,600,185,0,30.833
5,Guerrier,Moine,balanced,offense,600,206,0,34.333
5,Guerrier,Moine,balanced,balanced,600,181,0,30.167
5,Guerrier,Moine,balanced,resilient,600,169,0,28.167
5,Guerrier,Moine,resilient,offense,600,186,0,31.0
5,Guerrier,Moine,resilient,balanced,600,161,0,26.833
5,Guerrier,Moine,resilient,resilient,600,151,0,25.167
5,Guerrier,Ingénieur,offense,offense,600,381,0,63.5
5,Guerrier,Ingénieur,offense,balanced,600,372,0,62.0
5,Guerrier,Ingénieur,offense,resilient,600,368,0,61.333
5,Guerrier,Ingénieur,balanced,offense,600,373,0,62.167
5,Guerrier,Ingénieur,balanced,balanced,600,363,0,60.5
5,Guerrier,Ingénieur,balanced,resilient,600,351,0,58.5
5,Guerrier,Ingénieur,resilient,offense,600,344,0,57.333
5,Guerrier,Ingénieur,resilient,balanced,600,319,0,53.167
5,Guerrier,Ingénieur,resilient,resilient,600,313,0,52.167
5,Guerrier,Berserker,offense,offense,600,264,0,44.0
5,Guerrier,Berserker,offense,balanced,600,268,0,44.667
5,Guerrier,Berserker,offense,resilient,600,280,0,46.667
5,Guerrier,Berserker,balanced,offense,600,239,0,39.833
5,Guerrier,Berserker,balanced,balanced,600,244,0,40.667
5,Guerrier,Berserker,balanced,resilient,600,245,1,40.917
5,Guerrier,Berserker,resilient,offense,600,213,0,35.5
5,Guerrier,Berserker,resilient,balanced,600,203,0,33.833
5,Guerrier,Berserker,resilient,resilient,600,223,0,37.167
5,Archer,Mage,offense,offense,600,452,0,75.333
5,Archer,Mage,offense,balanced,600,418,0,69.667
5,Archer,Mage,offense,resilient,600,375,0,62.5
5,Archer,Mage,balanced,offense,600,468,0,78.0
5,Archer,Mage,balanced,balanced,600,434,0,72.333
5,Archer,Mage,balanced,resilient,600,403,0,67.167
5,Archer,Mage,resilient,offense,600,480,0,80.0
5,Archer,Mage,resilient,balanced,600,448,0,74.667
5,Archer,Mage,resilient,resilient,600,426,0,71.0
5,Archer,Trooper,offense,offense,600,294,0,49.0
5,Archer,Trooper,offense,balanced,600,294,0,49.0
5,Archer,Trooper,offense,resilient,600,294,0,49.0
5,Archer,Trooper,balanced,offense,600,293,0,48.833
5,Archer,Trooper,balanced,balanced,600,291,0,48.5
5,Archer,Trooper,balanced,resilient,600,316,1,52.75
5,Archer,Trooper,resilient,offense,600,282,0,47.0
5,Archer,Trooper,resilient,balanced,600,284,0,47.333
5,Archer,Trooper,resilient,resilient,600,310,0,51.667
5,Archer,Paladin,offense,offense,600,398,0,66.333
5,Archer,Paladin,offense,balanced,600,385,0,64.167
5,Archer,Paladin,offense,resilient,600,392,1,65.417
5,Archer,Paladin,balanced,offense,600,412,0,68.667
5,Archer,Paladin,balanced,balanced,600,404,0,67.333
5,Archer,Paladin,balanced,resilient,600,398,0,66.333
5,Archer,Paladin,resilient,offense,600,424,0,70.667
5,Archer,Paladin,resilient,balanced,600,403,0,67.167
5,Archer,Paladin,resilient,resilient,600,407,0,67.833
5,Archer,Ninja,offense,offense,600,296,0,49.333
5,Archer,Ninja,offense,balanced,600,280,0,46.667
5,Archer,Ninja,offense,resilient,600,271,0,45.167
5,Archer,Ninja,balanced,offense,600,302,0,50.333
5,Archer,Ninja,balanced,balanced,600,275,0,45.833
5,Archer,Ninja,balanced,resilient,600,289,0,48.167
5,Archer,Ninja,resilient,offense,600,289,0,48.167
5,Archer,Ninja,resilient,balanced,600,289,0,48.167
5,Archer,Ninja,resilient,resilient,600,285,0,47.5
5,Archer,Moine,offense,offense,600,346,0,57.667
5,Archer,Moine,offense,balanced,600,318,0,53.0
5,Archer,Moine,offense,resilient,600,310,0,51.667
5,Archer,Moine,balanced,offense,600,349,0,58.167
5,Archer,Moine,balanced,balanced,600,348,0,58.0
5,Archer,Moine,balanced,resilient,600,331,0,55.167
5,Archer,Moine,resilient,offense,600,375,0,62.5
5,Archer,Moine,resilient,balanced,600,346,0,57.667
5,Archer,Moine,resilient,resilient,600,344,0,57.333
5,Archer,Ingénieur,offense,offense,600,226,0,37.667
5,Archer,Ingénieur,offense,balanced,600,201,0,33.5
5,Archer,Ingénieur,offense,resilient,600,217,0,36.167
5,Archer,Ingénieur,balanced,offense,600,226,0,37.667
5,Archer,Ingénieur,balanced,balanced,600,236,0,39.333
5,Archer,Ingénieur,balanced,resilient,600,226,0,37.667
5,Archer,Ingénieur,resilient,offense,600,245,0,40.833
5,Archer,Ingénieur,resilient,balanced,600,218,0,36.333
5,Archer,Ingénieur,resilient,resilient,600,208,0,34.667
5,Archer,Berserker,offense,offense,600,232,0,38.667
5,Archer,Berserker,offense,balanced,600,238,0,39.667
5,Archer,Berserker,offense,resilient,600,261,0,43.5
5,Archer,Berserker,balanced,offense,600,249,0,41.5
5,Archer,Berserker,balanced,balanced,600,247,0,41.167
5,Archer,Berserker,balanced,resilient,600,253,0,42.167
5,Archer,Berserker,resilient,offense,600,245,0,40.833
5,Archer,Berserker,resilient,balanced,600,244,0,40.667
5,Archer,Berserker,resilient,resilient,600,246,0,41.0
5,Mage,Trooper,offense,offense,600,271,0,45.167
5,Mage,Trooper,offense,balanced,600,254,0,42.333
5,Mage,Trooper,offense,resilient,600,249,0,41.5
5,Mage,Trooper,balanced,offense,600,321,0,53.5
5,Mage,Trooper,balanced,balanced,600,292,0,48.667
5,Mage,Trooper,balanced,resilient,600,297,0,49.5
5,Mage,Trooper,resilient,offense,600,357,0,59.5
5,Mage,Trooper,resilient,balanced,600,334,0,55.667
5,Mage,Trooper,resilient,resilient,600,308,0,51.333
5,Mage,Paladin,offense,offense,600,387,0,64.5
5,Mage,Paladin,offense,balanced,600,386,0,64.333
5,Mage,Paladin,offense,resilient,600,416,0,69.333
5,Mage,Paladin,balanced,offense,600,397,0,66.167
5,Mage,Paladin,balanced,balanced,600,402,0,67.0
5,Mage,Paladin,balanced,resilient,600,432,0,72.0
5,Mage,Paladin,resilient,offense,600,401,0,66.833
5,Mage,Paladin,resilient,balanced,600,415,0,69.167
5,Mage,Paladin,resilient,resilient,600,432,0,72.0
5,Mage,Ninja,offense,offense,600,305,0,50.833
5,Mage,Ninja,offense,balanced,600,278,0,46.333
5,Mage,Ninja,offense,resilient,600,261,0,43.5
5,Mage,Ninja,balanced,offense,600,352,0,58.667
5,Mage,Ninja,balanced,balanced,600,316,0,52.667
5,Mage,Ninja,balanced,resilient,600,287,0,47.833
5,Mage,Ninja,resilient,offense,600,363,0,60.5
5,Mage,Ninja,resilient,balanced,600,342,0,57.0
5,Mage,Ninja,resilient,resilient,600,328,0,54.667
5,Mage,Moine,offense,offense,600,359,0,59.833
5,Mage,Moine,offense,balanced,600,360,0,60.0
5,Mage,Moine,offense,resilient,600,374,0,62.333
5,Mage,Moine,balanced,offense,600,377,0,62.833
5,Mage,Moine,balanced,balanced,600,384,1,64.083
5,Mage,Moine,balanced,resilient,600,384,0,64.0
5,Mage,Moine,resilient,offense,600,388,0,64.667
5,Mage,Moine,resilient,balanced,600,386,0,64.333
5,Mage,Moine,resilient,resilient,600,394,0,65.667
5,Mage,Ingénieur,offense,offense,600,242,0,40.333
5,Mage,Ingénieur,offense,balanced,600,236,0,39.333
5,Mage,Ingénieur,offense,resilient,600,204,0,34.0
5,Mage,Ingénieur,balanced,offense,600,314,0,52.333
5,Mage,Ingénieur,balanced,balanced,600,274,0,45.667
5,Mage,Ingénieur,balanced,resilient,600,235,0,39.167
5,Mage,Ingénieur,resilient,offense,600,351,0,58.5
5,Mage,Ingénieur,resilient,balanced,600,308,0,51.333
5,Mage,Ingénieur,resilient,resilient,600,277,0,46.167
5,Mage,Berserker,offense,offense,600,223,0,37.167
5,Mage,Berserker,offense,balanced,600,190,0,31.667
5,Mage,Berserker,offense,resilient,600,179,0,29.833
5,Mage,Berserker,balanced,offense,600,243,0,40.5
5,Mage,Berserker,balanced,balanced,600,219,1,36.583
5,Mage,Berserker,balanced,resilient,600,229,0,38.167
5,Mage,Berserker,resilient,offense,600,267,0,44.5
5,Mage,Berserker,resilient,balanced,600,263,0,43.833
5,Mage,Berserker,resilient,resilient,600,255,0,42.5
5,Trooper,Paladin,offense,offense,600,400,0,66.667
5,Trooper,Paladin,offense,balanced,600,391,0,65.167
5,Trooper,Paladin,offense,resilient,600,389,0,64.833
5,Trooper,Paladin,balanced,offense,600,414,0,69.0
5,Trooper,Paladin,balanced,balanced,600,393,0,65.5
5,Trooper,Paladin,balanced,resilient,600,399,0,66.5
5,Trooper,Paladin,resilient,offense,600,406,2,67.833
5,Trooper,Paladin,resilient,balanced,600,386,0,64.333
5,Trooper,Paladin,resilient,resilient,600,383,0,63.833
5,Trooper,Ninja,offense,offense,600,328,0,54.667
5,Trooper,Ninja,offense,balanced,600,305,0,50.833
5,Trooper,Ninja,offense,resilient,600,312,0,52.0
5,Trooper,Ninja,balanced,offense,600,315,0,52.5
5,Trooper,Ninja,balanced,balanced,600,307,0,51.167
5,Trooper,Ninja,balanced,resilient,600,302,0,50.333
5,Trooper,Ninja,resilient,offense,600,311,1,51.917
5,Trooper,Ninja,resilient,balanced,600,289,0,48.167
5,Trooper,Ninja,resilient,resilient,600,276,1,46.083
5,Trooper,Moine,offense,offense,600,373,0,62.167
5,Trooper,Moine,offense,balanced,600,362,0,60.333
5,Trooper,Moine,offense,resilient,600,352,0,58.667
5,Trooper,Moine,balanced,offense,600,386,0,64.333
5,Trooper,Moine,balanced,balanced,600,359,0,59.833
5,Trooper,Moine,balanced,resilient,600,372,1,62.083
5,Trooper,Moine,resilient,offense,600,376,0,62.667
5,Trooper,Moine,resilient,balanced,600,369,0,61.5
5,Trooper,Moine,resilient,resilient,600,352,0,58.667
5,Trooper,Ingénieur,offense,offense,600,339,0,56.5
5,Trooper,Ingénieur,offense,balanced,600,327,0,54.5
5,Trooper,Ingénieur,offense,resilient,600,314,0,52.333
5,Trooper,Ingénieur,balanced,offense,600,348,0,58.0
5,Trooper,Ingénieur,balanced,balanced,600,317,0,52.833
5,Trooper,Ingénieur,balanced,resilient,600,329,0,54.833
5,Trooper,Ingénieur,resilient,offense,600,318,0,53.0
5,Trooper,Ingénieur,resilient,balanced,600,317,0,52.833
5,Trooper,Ingénieur,resilient,resilient,600,309,0,51.5
5,Trooper,Berserker,offense,offense,600,298,0,49.667
5,Trooper,Berserker,offense,balanced,600,302,0,50.333
5,Trooper,Berserker,offense,resilient,600,324,0,54.0
5,Trooper,Berserker,balanced,offense,600,310,0,51.667
5,Trooper,Berserker,balanced,balanced,600,300,0,50.0
5,Trooper,Berserker,balanced,resilient,600,310,0,51.667
5,Trooper,Berserker,resilient,offense,600,283,0,47.167
5,Trooper,Berserker,resilient,balanced,600,276,0,46.0
5,Trooper,Berserker,resilient,resilient,600,302,0,50.333
5,Paladin,Ninja,offense,offense,600,333,0,55.5
5,Paladin,Ninja,offense,balanced,600,323,0,53.833
5,Paladin,Ninja,offense,resilient,600,323,0,53.833
5,Paladin,Ninja,balanced,offense,600,359,1,59.917
5,Paladin,Ninja,balanced,balanced,600,347,0,57.833
5,Paladin,Ninja,balanced,resilient,600,334,0,55.667
5,Paladin,Ninja,resilient,offense,600,364,0,60.667
5,Paladin,Ninja,resilient,balanced,600,342,0,57.0
5,Paladin,Ninja,resilient,resilient,600,339,1,56.583
5,Paladin,Moine,offense,offense,600,206,0,34.333
5,Paladin,Moine,offense,balanced,600,212,0,35.333
5,Paladin,Moine,offense,resilient,600,231,0,38.5
5,Paladin,Moine,balanced,offense,600,179,1,29.917
5,Paladin,Moine,balanced,balanced,600,183,0,30.5
5,Paladin,Moine,balanced,resilient,600,198,0,33.0
5,Paladin,Moine,resilient,offense,600,147,0,24.5
5,Paladin,Moine,resilient,balanced,600,152,0,25.333
5,Paladin,Moine,resilient,resilient,600,170,0,28.333
5,Paladin,Ingénieur,offense,offense,600,419,0,69.833
5,Paladin,Ingénieur,offense,balanced,600,404,0,67.333
5,Paladin,Ingénieur,offense,resilient,600,391,0,65.167
5,Paladin,Ingénieur,balanced,offense,600,435,0,72.5
5,Paladin,Ingénieur,balanced,balanced,600,417,0,69.5
5,Paladin,Ingénieur,balanced,resilient,600,396,0,66.0
5,Paladin,Ingénieur,resilient,offense,600,434,0,72.333
5,Paladin,Ingénieur,resilient,balanced,600,416,0,69.333
5,Paladin,Ingénieur,resilient,resilient,600,400,0,66.667
5,Paladin,Berserker,offense,offense,600,362,0,60.333
5,Paladin,Berserker,offense,balanced,600,349,0,58.167
5,Paladin,Berserker,offense,resilient,600,372,1,62.083
5,Paladin,Berserker,balanced,offense,600,381,0,63.5
5,Paladin,Berserker,balanced,balanced,600,391,0,65.167
5,Paladin,Berserker,balanced,resilient,600,407,0,67.833
5,Paladin,Berserker,resilient,offense,600,395,1,65.917
5,Paladin,Berserker,resilient,balanced,600,403,0,67.167
5,Paladin,Berserker,resilient,resilient,600,418,0,69.667
5,Ninja,Moine,offense,offense,600,419,0,69.833
5,Ninja,Moine,offense,balanced,600,405,0,67.5
5,Ninja,Moine,offense,resilient,600,392,0,65.333
5,Ninja,Moine,balanced,offense,600,449,0,74.833
5,Ninja,Moine,balanced,balanced,600,423,0,70.5
5,Ninja,Moine,balanced,resilient,600,405,0,67.5
5,Ninja,Moine,resilient,offense,600,458,0,76.333
5,Ninja,Moine,resilient,balanced,600,426,0,71.0
5,Ninja,Moine,resilient,resilient,600,424,0,70.667
5,Ninja,Ingénieur,offense,offense,600,288,0,48.0
5,Ninja,Ingénieur,offense,balanced,600,260,0,43.333
5,Ninja,Ingénieur,offense,resilient,600,261,0,43.5
5,Ninja,Ingénieur,balanced,offense,600,297,0,49.5
5,Ninja,Ingénieur,balanced,balanced,600,276,0,46.0
5,Ninja,Ingénieur,balanced,resilient,600,268,0,44.667
5,Ninja,Ingénieur,resilient,offense,600,297,0,49.5
5,Ninja,Ingénieur,resilient,balanced,600,271,0,45.167
5,Ninja,Ingénieur,resilient,resilient,600,277,0,46.167
5,Ninja,Berserker,offense,offense,600,312,0,52.0
5,Ninja,Berserker,offense,balanced,600,328,0,54.667
5,Ninja,Berserker,offense,resilient,600,332,0,55.333
5,Ninja,Berserker,balanced,offense,600,334,0,55.667
5,Ninja,Berserker,balanced,balanced,600,333,0,55.5
5,Ninja,Berserker,balanced,resilient,600,357,0,59.5
5,Ninja,Berserker,resilient,offense,600,329,0,54.833
5,Ninja,Berserker,resilient,balanced,600,338,0,56.333
5,Ninja,Berserker,resilient,resilient,600,351,0,58.5
5,Moine,Ingénieur,offense,offense,600,408,0,68.0
5,Moine,Ingénieur,offense,balanced,600,384,0,64.0
5,Moine,Ingénieur,offense,resilient,600,376,0,62.667
5,Moine,Ingénieur,balanced,offense,600,433,0,72.167
5,Moine,Ingénieur,balanced,balanced,600,411,0,68.5
5,Moine,Ingénieur,balanced,resilient,600,390,1,65.083
5,Moine,Ingénieur,resilient,offense,600,440,0,73.333
5,Moine,Ingénieur,resilient,balanced,600,416,0,69.333
5,Moine,Ingénieur,resilient,resilient,600,409,0,68.167
5,Moine,Berserker,offense,offense,600,323,0,53.833
5,Moine,Berserker,offense,balanced,600,319,0,53.167
5,Moine,Berserker,offense,resilient,600,324,0,54.0
5,Moine,Berserker,balanced,offense,600,358,0,59.667
5,Moine,Berserker,balanced,balanced,600,354,0,59.0
5,Moine,Berserker,balanced,resilient,600,361,1,60.25
5,Moine,Berserker,resilient,offense,600,379,0,63.167
5,Moine,Berserker,resilient,balanced,600,373,0,62.167
5,Moine,Berserker,resilient,resilient,600,383,0,63.833
5,Ingénieur,Berserker,offense,offense,600,336,1,56.083
5,Ingénieur,Berserker,offense,balanced,600,332,1,55.417
5,Ingénieur,Berserker,offense,resilient,600,330,0,55.0
5,Ingénieur,Berserker,balanced,offense,600,354,0,59.0
5,Ingénieur,Berserker,balanced,balanced,600,341,0,56.833
5,Ingénieur,Berserker,balanced,resilient,600,356,0,59.333
5,Ingénieur,Berserker,resilient,offense,600,348,0,58.0
5,Ingénieur,Berserker,resilient,balanced,600,344,0,57.333
5,Ingénieur,Berserker,resilient,resilient,600,372,0,62.0
10,Guerrier,Archer,offense,offense,600,431,0,71.833
10,Guerrier,Archer,offense,balanced,600,456,0,76.0
10,Guerrier,Archer,offense,resilient,600,473,0,78.833
10,Guerrier,Archer,balanced,offense,600,404,1,67.417
10,Guerrier,Archer,balanced,balanced,600,421,0,70.167
10,Guerrier,Archer,balanced,resilient,600,433,0,72.167
10,Guerrier,Archer,resilient,offense,600,345,0,57.5
10,Guerrier,Archer,resilient,balanced,600,385,0,64.167
10,Guerrier,Archer,resilient,resilient,600,371,0,61.833
10,Guerrier,Mage,offense,offense,600,406,0,67.667
10,Guerrier,Mage,offense,balanced,600,328,0,54.667
10,Guerrier,Mage,offense,resilient,600,277,0,46.167
10,Guerrier,Mage,balanced,offense,600,394,0,65.667
10,Guerrier,Mage,balanced,balanced,600,338,0,56.333
10,Guerrier,Mage,balanced,resilient,600,283,0,47.167
10,Guerrier,Mage,resilient,offense,600,407,0,67.833
10,Guerrier,Mage,resilient,balanced,600,338,0,56.333
10,Guerrier,Mage,resilient,resilient,600,254,0,42.333
10,Guerrier,Trooper,offense,offense,600,423,0,70.5
10,Guerrier,Trooper,offense,balanced,600,467,0,77.833
10,Guerrier,Trooper,offense,resilient,600,478,0,79.667
10,Guerrier,Trooper,balanced,offense,600,386,0,64.333
10,Guerrier,Trooper,balanced,balanced,600,418,0,69.667
10,Guerrier,Trooper,balanced,resilient,600,459,0,76.5
10,Guerrier,Trooper,resilient,offense,600,329,0,54.833
10,Guerrier,Trooper,resilient,balanced,600,378,0,63.0
10,Guerrier,Trooper,resilient,resilient,600,411,0,68.5
10,Guerrier,Paladin,offense,offense,600,316,0,52.667
10,Guerrier,Paladin,offense,balanced,600,278,0,46.333
10,Guerrier,Paladin,offense,resilient,600,265,0,44.167
10,Guerrier,Paladin,balanced,offense,600,290,0,48.333
10,Guerrier,Paladin,balanced,balanced,600,244,0,40.667
10,Guerrier,Paladin,balanced,resilient,600,229,0,38.167
10,Guerrier,Paladin,resilient,offense,600,245,0,40.833
10,Guerrier,Paladin,resilient,balanced,600,195,0,32.5
10,Guerrier,Paladin,resilient,resilient,600,190,0,31.667
10,Guerrier,Ninja,offense,offense,600,412,0,68.667
10,Guerrier,Ninja,offense,balanced,600,425,0,70.833
10,Guerrier,Ninja,offense,resilient,600,429,0,71.5
10,Guerrier,Ninja,balanced,offense,600,361,0,60.167
10,Guerrier,Ninja,balanced,balanced,600,359,0,59.833
10,Guerrier,Ninja,balanced,resilient,600,358,0,59.667
10,Guerrier,Ninja,resilient,offense,600,316,0,52.667
10,Guerrier,Ninja,resilient,balanced,600,308,0,51.333
10,Guerrier,Ninja,resilient,resilient,600,312,0,52.0
10,Guerrier,Moine,offense,offense,600,286,0,47.667
10,Guerrier,Moine,offense,balanced,600,259,0,43.167
10,Guerrier,Moine,offense,resilient,600,223,0,37.167
10,Guerrier,Moine,balanced,offense,600,261,0,43.5
10,Guerrier,Moine,balanced,balanced,600,211,0,35.167
10,Guerrier,Moine,balanced,resilient,600,179,0,29.833
10,Guerrier,Moine,resilient,offense,600,230,0,38.333
10,Guerrier,Moine,resilient,balanced,600,178,1,29.75
10,Guerrier,Moine,resilient,resilient,600,143,0,23.833
10,Guerrier,Ingénieur,offense,offense,600,406,0,67.667
10,Guerrier,Ingénieur,offense,balanced,600,405,0,67.5
10,Guerrier,Ingénieur,offense,resilient,600,398,0,66.333
10,Guerrier,Ingénieur,balanced,offense,600,352,0,58.667
10,Guerrier,Ingénieur,balanced,balanced,600,352,0,58.667
10,Guerrier,Ingénieur,balanced,resilient,600,348,0,58.0
10,Guerrier,Ingénieur,resilient,offense,600,300,0,50.0
10,Guerrier,Ingénieur,resilient,balanced,600,293,0,48.833
10,Guerrier,Ingénieur,resilient,resilient,600,272,0,45.333
10,Guerrier,Berserker,offense,offense,600,293,0,48.833
10,Guerrier,Berserker,offense,balanced,600,334,0,55.667
10,Guerrier,Berserker,offense,resilient,600,358,0,59.667
10,Guerrier,Berserker,balanced,offense,600,247,0,41.167
10,Guerrier,Berserker,balanced,balanced,600,253,0,42.167
10,Guerrier,Berserker,balanced,resilient,600,279,0,46.5
10,Guerrier,Berserker,resilient,offense,600,199,0,33.167
10,Guerrier,Berserker,resilient,balanced,600,203,0,33.833
10,Guerrier,Berserker,resilient,resilient,600,228,0,38.0
10,Archer,Mage,offense,offense,600,455,0,75.833
10,Archer,Mage,offense,balanced,600,377,0,62.833
10,Archer,Mage,offense,resilient,600,330,0,55.0
10,Archer,Mage,balanced,offense,600,498,0,83.0
10,Archer,Mage,balanced,balanced,600,434,0,72.333
10,Archer,Mage,balanced,resilient,600,393,0,65.5
10,Archer,Mage,resilient,offense,600,510,0,85.0
10,Archer,Mage,resilient,balanced,600,461,0,76.833
10,Archer,Mage,resilient,resilient,600,426,0,71.0
10,Archer,Trooper,offense,offense,600,230,1,38.417
10,Archer,Trooper,offense,balanced,600,283,2,47.333
10,Archer,Trooper,offense,resilient,600,302,0,50.333
10,Archer,Trooper,balanced,offense,600,231,0,38.5
10,Archer,Trooper,balanced,balanced,600,259,0,43.167
10,Archer,Trooper,balanced,resilient,600,279,0,46.5
10,Archer,Trooper,resilient,offense,600,211,0,35.167
10,Archer,Trooper,resilient,balanced,600,240,0,40.0
10,Archer,Trooper,resilient,resilient,600,294,0,49.0
10,Archer,Paladin,offense,offense,600,390,0,65.0
10,Archer,Paladin,offense,balanced,600,383,1,63.917
10,Archer,Paladin,offense,resilient,600,380,1,63.417
10,Archer,Paladin,balanced,offense,600,446,1,74.417
10,Archer,Paladin,balanced,balanced,600,409,0,68.167
10,Archer,Paladin,balanced,resilient,600,398,0,66.333
10,Archer,Paladin,resilient,offense,600,448,0,74.667
10,Archer,Paladin,resilient,balanced,600,411,0,68.5
10,Archer,Paladin,resilient,resilient,600,411,0,68.5
10,Archer,Ninja,offense,offense,600,293,0,48.833
10,Archer,Ninja,offense,balanced,600,286,0,47.667
10,Archer,Ninja,offense,resilient,600,300,0,50.0
10,Archer,Ninja,balanced,offense,600,292,0,48.667
10,Archer,Ninja,balanced,balanced,600,281,0,46.833
10,Archer,Ninja,balanced,resilient,600,277,0,46.167
10,Archer,Ninja,resilient,offense,600,289,0,48.167
10,Archer,Ninja,resilient,balanced,600,271,0,45.167
10,Archer,Ninja,resilient,resilient,600,262,0,43.667
10,Archer,Moine,offense,offense,600,315,0,52.5
10,Archer,Moine,offense,balanced,600,308,1,51.417
10,Archer,Moine,offense,resilient,600,286,0,47.667
10,Archer,Moine,balanced,offense,600,363,0,60.5
10,Archer,Moine,balanced,balanced,600,327,0,54.5
